state,active,date
Total,102200,2020-03-06
Maharashtra,38502,2020-03-06
Tamil Nadu,10680,2020-03-06
Delhi,12333,2020-03-06
Gujarat,4646,2020-03-06
Rajasthan,2766,2020-03-06
Madhya Pradesh,2835,2020-03-06
Uttar Pradesh,3324,2020-03-06
West Bengal,3423,2020-03-06
State Unassigned,7123,2020-03-06
Bihar,2269,2020-03-06
Andhra Pradesh,1439,2020-03-06
Karnataka,2339,2020-03-06
Telangana,1273,2020-03-06
Jammu and Kashmir,1732,2020-03-06
Haryana,1560,2020-03-06
Punjab,279,2020-03-06
Odisha,1054,2020-03-06
Assam,1328,2020-03-06
Kerala,774,2020-03-06
Uttarakhand,781,2020-03-06
Jharkhand,421,2020-03-06
Chhattisgarh,433,2020-03-06
Himachal Pradesh,200,2020-03-06
Tripura,298,2020-03-06
Chandigarh,82,2020-03-06
Manipur,75,2020-03-06
Ladakh,33,2020-03-06
Goa,22,2020-03-06
Puducherry,58,2020-03-06
Nagaland,58,2020-03-06
Andaman and Nicobar Islands,0,2020-03-06
Meghalaya,17,2020-03-06
Arunachal Pradesh,27,2020-03-06
Dadra and Nagar Haveli and Daman and Diu,3,2020-03-06
Mizoram,12,2020-03-06
Sikkim,1,2020-03-06
Lakshadweep,0,2020-03-06
